x,y (RK44)-1,Exact,%Err(RK4),x,y (RK44)-2,Exact,%Err(RK4),x,y (RK44)-3,Exact,%Err(RK4)
0.5,-0.108740234,0.768453444,1.14%,1,-0.28125,-1.580998849,-0.82%,2,-1.6,-1.4788027,-0.08%
1,-0.123860677,-1.580998849,-0.92%,2,-0.491666667,-1.4788027,-0.67%,4,-9.333333333,6.745803673,2.38%
1.5,-0.141715495,1.985745966,1.07%,3,-0.852083333,2.914387906,1.29%,6,-29.86666667,-19.84514567,-0.51%
2,-0.162695313,-1.4788027,-0.89%,4,-1.4125,6.745803673,1.21%,8,-69.6,40.68180013,2.71%
2.5,-0.187190755,-0.231486167,-0.19%,5,-2.222916667,-1.612374396,-0.38%,10,-134.9333333,-38.93988091,-2.47%
3,-0.215592448,2.914387906,1.07%,6,-3.333333333,-19.84514567,-0.83%,,,,
3.5,-0.248291016,-5.614340022,-0.96%,7,-4.79375,-14.17946262,-0.66%,,,,
4,-0.285677083,6.745803673,1.04%,8,-6.654166667,40.68180013,1.16%,,,,
4.5,-0.328141276,-4.62218308,-0.93%,9,-8.964583333,76.59589429,1.12%,,,,
5,-0.376074219,-1.612374396,-0.77%,10,-11.775,-38.93988091,-0.70%,,,,
5.5,-0.429866537,10.93795441,1.04%,,,,,,,,
6,-0.489908854,-19.84514567,-0.98%,,,,,,,,
6.5,-0.556591797,22.79531867,1.02%,,,,,,,,
7,-0.63030599,-14.17946262,-0.96%,,,,,,,,
7.5,-0.711442057,-8.410618979,-0.92%,,,,,,,,
8,-0.800390625,40.68180013,1.02%,,,,,,,,
8.5,-0.897542318,-69.83105503,-0.99%,,,,,,,,
9,-1.00328776,76.59589429,1.01%,,,,,,,,
9.5,-1.118017578,-42.45472598,-0.97%,,,,,,,,
10,-1.242122396,-38.93988091,-0.97%,,,,,,,,
